rank,name,country,born,order,consistory,office,ref.,eligible,pope_no.,pope_name,all_cardinals_cb,all_cardinals_cp,all_cardinals_cd,all_cardinals_total,cardinal_electors_cb,cardinal_electors_cp,cardinal_electors_cd,cardinal_electors_total,particular church_sui iuris,particular church_sui iuris.1,all_cardinals,cardinal_electors,post-nominal,institute_or_society,continent_continent,all_cardinals_number,all_cardinals_percentage,cardinal_electors_number,cardinal_electors_percentage,percentage_of_global_catholic_population_(2023)_percentage_of_global_catholic_population_(2023),continent
1.0,Giovanni Battista Re*,Italy,30 January 1934 (age 91),CB,21 February 2001[i] John Paul II,Prefect emeritus of the Congregation for Bishops,[17],True,,,,,,,,,,,,,,,,,,,,,,,
2.0,Leonardo Sandri*,Argentina,18 November 1943 (age 81),CB,24 November 2007[ii] Benedict XVI,Prefect emeritus of the Dicastery for the Eastern Churches,[18],True,,,,,,,,,,,,,,,,,,,,,,,
3.0,Francis Arinze*,Nigeria,1 November 1932 (age 92),CB,25 May 1985[iii] John Paul II,Prefect emeritus of the Congregation for Divine Worship and the Discipline of the Sacraments,[19],True,,,,,,,,,,,,,,,,,,,,,,,
4.0,Tarcisio Bertone SDB*,Italy,2 December 1934 (age 90),CB,21 October 2003[iv] John Paul II,Secretary of State emeritus of His Holiness and Camerlengo emeritus of the Holy Roman Church,[20],True,,,,,,,,,,,,,,,,,,,,,,,
5.0,José Saraiva Martins CMF*,Portugal,6 January 1932 (age 93),CB,21 February 2001[v] John Paul II,Prefect emeritus of the Congregation for the Causes of Saints,[21],True,,,,,,,,,,,,,,,,,,,,,,,
6.0,Pietro Parolin,Italy,17 January 1955 (age 70),CB,22 February 2014[vi] Francis,Secretary of State of His Holiness,[22],True,,,,,,,,,,,,,,,,,,,,,,,
7.0,Marc Ouellet PSS*,Canada,8 June 1944 (age 80),CB,21 October 2003[vi] John Paul II,Prefect emeritus of the Dicastery for Bishops,[23],True,,,,,,,,,,,,,,,,,,,,,,,
8.0,Fernando Filoni,Italy,15 April 1946 (age 79),CB,18 February 2012[vii] Benedict XVI,Grand Master of the Order of the Holy Sepulchre,[24],True,,,,,,,,,,,,,,,,,,,,,,,
9.0,Beniamino Stella*,Italy,18 August 1941 (age 83),CB,22 February 2014[viii] Francis,Prefect emeritus of the Congregation for the Clergy,[25],True,,,,,,,,,,,,,,,,,,,,,,,
10.0,Luis Antonio Tagle,Philippines,21 June 1957 (age 67),CB,24 November 2012[ix] Benedict XVI,Pro-Prefect of the Dicastery for Evangelization,[26],True,,,,,,,,,,,,,,,,,,,,,,,
11.0,Robert Francis Prevost OSA,United States,14 September 1955 (age 69),CB,30 September 2023[x] Francis,Prefect of the Dicastery for Bishops,[27],True,,,,,,,,,,,,,,,,,,,,,,,
12.0,Bechara Boutros al-Rahi OMM*,Lebanon,25 February 1940 (age 85),CB,24 November 2012 Benedict XVI,Patriarch of Antioch (Maronite Church),[28],True,,,,,,,,,,,,,,,,,,,,,,,
13.0,Louis Raphaël I Sako,Iraq,4 July 1948 (age 76),CB,28 June 2018 Francis,Patriarch of Baghdad (Chaldean Church),[29],True,,,,,,,,,,,,,,,,,,,,,,,
14.0,Michael Michai Kitbunchu*,Thailand,25 January 1929 (age 96),CP,2 February 1983 John Paul II,Archbishop emeritus of Bangkok,[30],True,,,,,,,,,,,,,,,,,,,,,,,
15.0,Paul Poupard*,France,30 August 1930 (age 94),CP,25 May 1985[xi] John Paul II,President emeritus of the Pontifical Councils for Culture and for Interreligious Dialogue,[31],True,,,,,,,,,,,,,,,,,,,,,,,
16.0,Friedrich Wetter*,Germany,20 February 1928 (age 97),CP,25 May 1985 John Paul II,Archbishop emeritus of Munich and Freising,[32],True,,,,,,,,,,,,,,,,,,,,,,,
17.0,Nicolás de Jesús López Rodríguez*,Dominican Republic,31 October 1936 (age 88),CP,28 June 1991 John Paul II,Archbishop emeritus of Santo Domingo,[33],True,,,,,,,,,,,,,,,,,,,,,,,
18.0,Roger Mahony*,United States,27 February 1936 (age 89),CP,28 June 1991 John Paul II,Archbishop emeritus of Los Angeles,[34],True,,,,,,,,,,,,,,,,,,,,,,,
19.0,Camillo Ruini*,Italy,19 February 1931 (age 94),CP,28 June 1991 John Paul II,Vicar General emeritus for Rome and Archpriest emeritus of the Papal Basilica of Saint John Lateran,[35],True,,,,,,,,,,,,,,,,,,,,,,,
20.0,Julius Darmaatmadja SJ*,Indonesia,20 December 1934 (age 90),CP,26 November 1994 John Paul II,Archbishop emeritus of Jakarta,[36],True,,,,,,,,,,,,,,,,,,,,,,,
21.0,Emmanuel Wamala*,Uganda,15 December 1926 (age 98),CP,26 November 1994 John Paul II,Archbishop emeritus of Kampala,[37],True,,,,,,,,,,,,,,,,,,,,,,,
22.0,Adam Maida*,United States,18 March 1930 (age 95),CP,26 November 1994 John Paul II,Archbishop emeritus of Detroit,[38],True,,,,,,,,,,,,,,,,,,,,,,,
23.0,Vinko Puljić,Bosnia and Herzegovina,8 September 1945 (age 79),CP,26 November 1994 John Paul II,Archbishop emeritus of Vrhbosna,[39],True,,,,,,,,,,,,,,,,,,,,,,,
24.0,Juan Sandoval Íñiguez*,Mexico,28 March 1933 (age 92),CP,26 November 1994 John Paul II,Archbishop emeritus of Guadalajara,[40],True,,,,,,,,,,,,,,,,,,,,,,,
